# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
3.16946e-05      1.47861482e+01 7.02771112e+02 1.13230586e-18 6.01978044e+00 7.03094772e+02 1.13193112e-18 8.76636774e+00 -3.23660051e-01 3.74734350e-22
6.33662e-05      1.52813524e+01 7.02825965e+02 1.15573790e-18 6.52121070e+00 7.03153837e+02 1.15535909e-18 8.76014171e+00 -3.27871715e-01 3.78802790e-22
9.50402e-05      1.54842043e+01 7.02487357e+02 1.15956687e-18 6.73081850e+00 7.02817921e+02 1.15919581e-18 8.75338579e+00 -3.30564342e-01 3.71051880e-22
0.000126685      1.56104591e+01 7.02361073e+02 1.15985466e-18 6.86404849e+00 7.02693663e+02 1.15949401e-18 8.74641063e+00 -3.32589754e-01 3.60655276e-22
0.000158284      1.56231723e+01 7.02231856e+02 1.16162724e-18 6.88392236e+00 7.02566039e+02 1.16128655e-18 8.73924993e+00 -3.34183106e-01 3.40689444e-22
0.000189874      1.56001230e+01 7.01984462e+02 1.16728241e-18 6.86819859e+00 7.02319945e+02 1.16696915e-18 8.73192439e+00 -3.35483013e-01 3.13262028e-22
0.000221465      1.55731708e+01 7.01792811e+02 1.17273348e-18 6.84868027e+00 7.02129362e+02 1.17243991e-18 8.72449052e+00 -3.36550719e-01 2.93569649e-22
0.00025304       1.55418988e+01 7.01698952e+02 1.17815316e-18 6.82492690e+00 7.02036374e+02 1.17787246e-18 8.71697186e+00 -3.37421401e-01 2.80692069e-22
0.000284589      1.55322249e+01 7.01666031e+02 1.18243281e-18 6.82284781e+00 7.02004160e+02 1.18216263e-18 8.70937706e+00 -3.38128776e-01 2.70179266e-22
0.000316106      1.55394879e+01 7.01665640e+02 1.18575560e-18 6.83777200e+00 7.02004342e+02 1.18549461e-18 8.70171587e+00 -3.38701839e-01 2.60990706e-22
0.000347586      1.55461528e+01 7.01701251e+02 1.18801195e-18 6.85215179e+00 7.02040432e+02 1.18775245e-18 8.69400103e+00 -3.39180469e-01 2.59499487e-22
0.000379023      1.55579266e+01 7.01771658e+02 1.18906564e-18 6.87168128e+00 7.02111232e+02 1.18880655e-18 8.68624528e+00 -3.39574712e-01 2.59088118e-22
0.00041041       1.55725969e+01 7.01885527e+02 1.18917870e-18 6.89414070e+00 7.02225424e+02 1.18892601e-18 8.67845617e+00 -3.39897614e-01 2.52689885e-22
0.000441741      1.55927587e+01 7.02002330e+02 1.18834427e-18 6.92209906e+00 7.02342484e+02 1.18809799e-18 8.67065961e+00 -3.40153903e-01 2.46282635e-22
0.000473009      1.56064897e+01 7.02111069e+02 1.18707900e-18 6.94362081e+00 7.02451416e+02 1.18683808e-18 8.66286893e+00 -3.40347790e-01 2.40923422e-22
0.000504216      1.56141735e+01 7.02190317e+02 1.18563998e-18 6.95907362e+00 7.02530807e+02 1.18540595e-18 8.65509993e+00 -3.40490134e-01 2.34022712e-22
0.000535387      1.56196336e+01 7.02223248e+02 1.18418576e-18 6.97227619e+00 7.02563831e+02 1.18395959e-18 8.64735745e+00 -3.40583590e-01 2.26169546e-22
0.000566556      1.56218969e+01 7.02220464e+02 1.18297259e-18 6.98225631e+00 7.02561095e+02 1.18275317e-18 8.63964056e+00 -3.40631056e-01 2.19419958e-22
0.000597754      1.56250354e+01 7.02188687e+02 1.18208537e-18 6.99308768e+00 7.02529328e+02 1.18187151e-18 8.63194771e+00 -3.40641210e-01 2.13860862e-22
0.000628996      1.56300285e+01 7.02124596e+02 1.18144553e-18 7.00574523e+00 7.02465219e+02 1.18123471e-18 8.62428323e+00 -3.40623334e-01 2.10818338e-22
0.000660241      1.56348335e+01 7.02021205e+02 1.18123249e-18 7.01816814e+00 7.02361795e+02 1.18102265e-18 8.61666534e+00 -3.40590288e-01 2.09846185e-22
0.000691451      1.56400793e+01 7.01907489e+02 1.18146923e-18 7.03097607e+00 7.02248036e+02 1.18125940e-18 8.60910321e+00 -3.40547161e-01 2.09824164e-22
0.000722649      1.56443378e+01 7.01773369e+02 1.18200937e-18 7.04275082e+00 7.02113861e+02 1.18179818e-18 8.60158700e+00 -3.40492484e-01 2.11188782e-22
0.000753858      1.56477193e+01 7.01625369e+02 1.18287474e-18 7.05361003e+00 7.01965796e+02 1.18266135e-18 8.59410926e+00 -3.40427232e-01 2.13392229e-22
0.000785094      1.56498122e+01 7.01460060e+02 1.18391872e-18 7.06314631e+00 7.01800416e+02 1.18370308e-18 8.58666586e+00 -3.40355959e-01 2.15636419e-22
0.000816362      1.56520223e+01 7.01323300e+02 1.18510867e-18 7.07276553e+00 7.01663584e+02 1.18489118e-18 8.57925677e+00 -3.40283283e-01 2.17486917e-22
0.000847662      1.56522249e+01 7.01158698e+02 1.18640153e-18 7.08034161e+00 7.01498910e+02 1.18618286e-18 8.57188330e+00 -3.40211916e-01 2.18666287e-22
0.000878989      1.56515080e+01 7.00997833e+02 1.18773821e-18 7.08696128e+00 7.01337977e+02 1.18751927e-18 8.56454672e+00 -3.40143846e-01 2.18949442e-22
0.00091032       1.56491775e+01 7.00848206e+02 1.18903303e-18 7.09192381e+00 7.01188290e+02 1.18881455e-18 8.55725372e+00 -3.40084770e-01 2.18481847e-22
0.000941629      1.56477111e+01 7.00694979e+02 1.19027203e-18 7.09770029e+00 7.01035015e+02 1.19005454e-18 8.55001078e+00 -3.40035436e-01 2.17486403e-22
0.000972911      1.56454565e+01 7.00553755e+02 1.19138084e-18 7.10263853e+00 7.00893750e+02 1.19116480e-18 8.54281799e+00 -3.39995190e-01 2.16044929e-22
0.00100416       1.56440554e+01 7.00422231e+02 1.19236243e-18 7.10838098e+00 7.00762195e+02 1.19214786e-18 8.53567438e+00 -3.39963484e-01 2.14568182e-22
0.00103539       1.56420073e+01 7.00286678e+02 1.19315365e-18 7.11342731e+00 7.00626616e+02 1.19294015e-18 8.52858002e+00 -3.39938610e-01 2.13492341e-22
0.00106658       1.56405727e+01 7.00174234e+02 1.19380977e-18 7.11903737e+00 7.00514154e+02 1.19359727e-18 8.52153529e+00 -3.39919903e-01 2.12501257e-22
0.00109774       1.56395834e+01 7.00071230e+02 1.19430604e-18 7.12504367e+00 7.00411137e+02 1.19409436e-18 8.51453977e+00 -3.39906686e-01 2.11687467e-22
0.00112888       1.56385221e+01 6.99972323e+02 1.19465716e-18 7.13093024e+00 7.00312220e+02 1.19444618e-18 8.50759189e+00 -3.39896979e-01 2.10978896e-22
0.00116          1.56369701e+01 6.99882193e+02 1.19487966e-18 7.13628023e+00 7.00222084e+02 1.19466942e-18 8.50068992e+00 -3.39890817e-01 2.10243686e-22
0.0011911        1.56353620e+01 6.99798762e+02 1.19500680e-18 7.14153002e+00 7.00138648e+02 1.19479726e-18 8.49383198e+00 -3.39885816e-01 2.09539519e-22
0.0012222        1.56329036e+01 6.99720250e+02 1.19504777e-18 7.14588700e+00 7.00060131e+02 1.19483900e-18 8.48701660e+00 -3.39880217e-01 2.08777128e-22
0.0012533        1.56301834e+01 6.99648993e+02 1.19503954e-18 7.14994027e+00 6.99988868e+02 1.19483163e-18 8.48024316e+00 -3.39874986e-01 2.07906867e-22
0.00128439       1.56273753e+01 6.99586162e+02 1.19499919e-18 7.15386381e+00 6.99926031e+02 1.19479221e-18 8.47351153e+00 -3.39868710e-01 2.06981513e-22
0.0013155        1.56232763e+01 6.99527516e+02 1.19492466e-18 7.15645456e+00 6.99867377e+02 1.19471862e-18 8.46682175e+00 -3.39860936e-01 2.06038853e-22
0.00134661       1.56196232e+01 6.99475758e+02 1.19486261e-18 7.15944808e+00 6.99815610e+02 1.19465754e-18 8.46017510e+00 -3.39851713e-01 2.05072950e-22
0.00137771       1.56149955e+01 6.99429465e+02 1.19479528e-18 7.16141903e+00 6.99769306e+02 1.19459104e-18 8.45357643e+00 -3.39841627e-01 2.04237568e-22
0.0014088        1.56095253e+01 6.99388952e+02 1.19474486e-18 7.16249968e+00 6.99728782e+02 1.19454139e-18 8.44702562e+00 -3.39829560e-01 2.03476345e-22
0.00143988       1.56041475e+01 6.99351474e+02 1.19473015e-18 7.16362553e+00 6.99691288e+02 1.19452736e-18 8.44052193e+00 -3.39814626e-01 2.02790198e-22
0.00147097       1.55975188e+01 6.99318200e+02 1.19472679e-18 7.16345427e+00 6.99657996e+02 1.19452467e-18 8.43406451e+00 -3.39795696e-01 2.02126850e-22
0.00150205       1.55910641e+01 6.99289469e+02 1.19476201e-18 7.16341043e+00 6.99629241e+02 1.19456052e-18 8.42765363e+00 -3.39772455e-01 2.01487650e-22
